所属天/单元,单词,词性及中文释义
第1天 Unit 1 Lesson 1,,
第1天 Unit 1 Lesson 1,act,v.行动;表现得;扮演 n.行为
第1天 Unit 1 Lesson 1,*actor,n.演员;扮演者;参与者
第1天 Unit 1 Lesson 1,*actress,n.女演员
第1天 Unit 1 Lesson 1,action,"n.行为,行动;功能,作用"
第1天 Unit 1 Lesson 1,active,adj.积极的;活跃的;忙碌的;起作用的
第1天 Unit 1 Lesson 1,activity,n.活动;活跃;活性
第1天 Unit 1 Lesson 1,actual,adj.实际的;真正的
第1天 Unit 1 Lesson 1,*actually,adv.实际上;事实上
第1天 Unit 1 Lesson 1,virtual,"adj.事实上的,实际上的;虚拟的"
第1天 Unit 1 Lesson 1,*virtually,adv.几乎;事实上
第1天 Unit 1 Lesson 1,react,"v.回应,反应"
第1天 Unit 1 Lesson 1,*reaction,"n.回应,反应"
第1天 Unit 1 Lesson 1,exact,adj.准确的;严谨的;确切的
第1天 Unit 1 Lesson 1,*exactly,"adv.精确地,准确地,确切地"
第1天 Unit 1 Lesson 1,precise,"adj.精确的,准确的;确切的;就,恰好"
第1天 Unit 1 Lesson 1,*precision,n.精确;准确;细致
第1天 Unit 1 Lesson 1,*precisely,"adv.精确地,准确地;恰好地"
第1天 Unit 1 Lesson 1,behave,"v.表现,举止"
第1天 Unit 1 Lesson 1,*behavio(u)r,"n.行为,举止"
第1天 Unit 1 Lesson 1,practice,n.练习;实践;实际行动
第1天 Unit 1 Lesson 1,practise/-ice,v.练习;实践;训练
第1天 Unit 1 Lesson 1,practical,adj.实际的;真实的;客观存在的
第1天 Unit 1 Lesson 1,*practically,"adv.实际地;几乎,差不多"
第1天 Unit 1 Lesson 1,training,"n.训练,培训;锻炼"
第1天 Unit 1 Lesson 1,train,"n.火车,列车;队列 v.训练;培训"
第1天 Unit 1 Lesson 1,*trainer,n.教练员
第1天 Unit 1 Lesson 1,coach,"n.教练;长途客车 v.训练,指导"
第1天 Unit 1 Lesson 1,tutor,n.导师;家庭教师;私人教师 v.指导
第1天 Unit 1 Lesson 1,tuition,n.教学;学费
第1天 Unit 1 Lesson 1,able,adj.能够;有才能的
第1天 Unit 1 Lesson 1,*unable,"adj.没有能力的;未能,无法"
第1天 Unit 1 Lesson 1,disabled,"adj.残疾的,残废的"
第1天 Unit 1 Lesson 1,handicap,"n.残疾,生理缺陷;障碍 v.妨碍"
第1天 Unit 1 Lesson 1,ability,n.能力;才能;本领
第1天 Unit 1 Lesson 1,enable,v.使能够;使成为可能
第1天 Unit 1 Lesson 1,capable,"adj.有能力的,有才能的;能胜任的"
第1天 Unit 1 Lesson 1,capacity,n.容量;能力;职位
第1天 Unit 1 Lesson 1,capital,n.首都;资本;大写字母
第1天 Unit 1 Lesson 1,captain,n.船长;机长;首领 v.担任……的队长
第1天 Unit 1 Lesson 1,capture,v.捕获 n.(被)捕获
第1天 Unit 1 Lesson 1,escape,"v.逃跑,逃脱;避开 n.逃跑;逃脱;解脱"
第1天 Unit 1 Lesson 1,evade,v.逃脱;逃避;规避
第1天 Unit 1 Lesson 1,avoid,v.避免;回避
第2天 Unit 1 Lesson 2,,
第2天 Unit 1 Lesson 2,calm,v.使平静 adj.平静的;沉着的
第2天 Unit 1 Lesson 2,mature,adj.成熟的;成年的 v.成熟
第2天 Unit 1 Lesson 2,moral,adj.道德的;品行端正的 n.品行;道德
第2天 Unit 1 Lesson 2,*morality,n.道德;道德准则
第2天 Unit 1 Lesson 2,ethic,n.道德体系;行为准则;道德准则
第2天 Unit 1 Lesson 2,alarm,v.使惊恐;使不安 n.警报;惊恐
第2天 Unit 1 Lesson 2,loom,v.隐隐现出;显得突出;逼近 n.织布机
第2天 Unit 1 Lesson 2,boom,v./n.(发出)隆隆声;繁荣;激增
第2天 Unit 1 Lesson 2,bloom,n.花 v.开花
第2天 Unit 1 Lesson 2,bomb,n.炸弹 v.轰炸
第2天 Unit 1 Lesson 2,boost,v.使增长 n.增长;帮助
第2天 Unit 1 Lesson 2,magic,n.魔法;魔术 adj.有魔力的;神奇的
第2天 Unit 1 Lesson 2,mirror,n.镜子;写照
第2天 Unit 1 Lesson 2,miracle,n.神迹;奇迹
第2天 Unit 1 Lesson 2,misery,n.痛苦;悲惨;不幸的事
第2天 Unit 1 Lesson 2,*miserable,adj.痛苦的;可怜的
第2天 Unit 1 Lesson 2,*miserably,adv.痛苦地;可怜地
第2天 Unit 1 Lesson 2,mask,"n.面具,面罩;伪装 v.掩饰,掩盖"
第2天 Unit 1 Lesson 2,bury,v.埋葬;隐藏
第2天 Unit 1 Lesson 2,misunderstand,v.误解;误会
第2天 Unit 1 Lesson 2,*misunderstanding,n.误解;误会;不和
第2天 Unit 1 Lesson 2,screen,n.屏幕;荧光屏;银幕
第2天 Unit 1 Lesson 2,cover,v.覆盖;占;包括;掩护 n.覆盖物;躲避处;封面
第2天 Unit 1 Lesson 2,discover,v.发现;发觉;了解到
第2天 Unit 1 Lesson 2,*discovery,n.发现;发觉;被发现的事物
第2天 Unit 1 Lesson 2,recover,"v.康复,痊愈;恢复"
第2天 Unit 1 Lesson 2,*recovery,n.恢复;痊愈;复苏
第2天 Unit 1 Lesson 2,uncover,v.揭露;发现;揭开盖子
第2天 Unit 1 Lesson 2,dare,v.敢于;胆敢
第2天 Unit 1 Lesson 2,admire,v.钦佩;赞赏;欣赏
第2天 Unit 1 Lesson 2,worship,"n./v.崇拜,敬仰;(做)礼拜"
第2天 Unit 1 Lesson 2,wire,n.金属线;电线 v.用导线接通电源
第2天 Unit 1 Lesson 2,resort,"n.度假胜地;采取,求助 v.求助于;采取"
第2天 Unit 1 Lesson 2,sort,"n.种类 v.把……分类,整理"
第2天 Unit 1 Lesson 2,share,"v.分担,分享;分配;分摊 n.股份;一份"
第2天 Unit 1 Lesson 2,mere,"adj.仅仅,只不过"
第2天 Unit 1 Lesson 2,*merely,adv.仅仅;只不过
第2天 Unit 1 Lesson 2,sole,"adj.仅有的,唯一的;独占的,专有的"
第2天 Unit 1 Lesson 2,relax,"v.放松,休息"
第2天 Unit 1 Lesson 2,complex,adj.复杂的;复合的 n.建筑群;情结
第2天 Unit 1 Lesson 2,complain,v.抱怨;埋怨;发牢骚
第2天 Unit 1 Lesson 2,*complaint,n.抱怨;投诉;控告
第2天 Unit 1 Lesson 2,complicate,v.使复杂化
第2天 Unit 1 Lesson 2,*complicated,"adj.复杂的,难懂的"
第2天 Unit 1 Lesson 2,compound,n.混合物;复合词 adj.复合的
第2天 Unit 1 Lesson 2,pound,n.磅(重量单位);英镑
第2天 Unit 1 Lesson 2,camp,n.营地;夏令营 v.露营;野营
第2天 Unit 1 Lesson 2,campaign,n.运动;活动;战役
第2天 Unit 1 Lesson 2,campus,n.校园;校区
第2天 Unit 1 Lesson 2,curriculum,n.课程
第2天 Unit 1 Lesson 2,term,n.学期;术语;任期
第2天 Unit 1 Lesson 2,educate,v.教育;教导;教养;训练
第2天 Unit 1 Lesson 2,*educator,n.教育工作者;教师
第2天 Unit 1 Lesson 2,education,"n.教育;培养,训练"
第2天 Unit 1 Lesson 2,*educational,adj.教育的
第2天 Unit 1 Lesson 2,professor,"n.教授;(大学的)讲师,教员"
第2天 Unit 1 Lesson 2,profession,"n.行业,职业;专业"
第2天 Unit 1 Lesson 2,professional,adj.职业的;专业的 n.专家
第2天 Unit 1 Lesson 2,confess,"v.承认,坦白;忏悔"
第2天 Unit 1 Lesson 2,expert,n.专家 adj.专家的
第2天 Unit 1 Lesson 2,*expertise,"n.专长,专门技能"
第2天 Unit 1 Lesson 2,academic,n.大学教师;学者 adj.学术的
第2天 Unit 1 Lesson 2,scholar,n.学者;奖学金获得者
第2天 Unit 1 Lesson 2,scholarship,n.奖学金
第2天 Unit 1 Lesson 2,invite,v.邀请;招致
第2天 Unit 1 Lesson 2,*invitation,n.邀请;请柬
第3天 Unit 1 Lesson 3,,
第3天 Unit 1 Lesson 3,freshman,n.(大学)一年级新生
第3天 Unit 1 Lesson 3,veteran,"n.老兵,退伍军人;老手,经验丰富的人"
第3天 Unit 1 Lesson 3,sophisticated,adj.见多识广的;老练的;精密的;先进的
第3天 Unit 1 Lesson 3,junior,adj.级别低的;青少年的 n.青少年
第3天 Unit 1 Lesson 3,senior,adj.级别高的;老年的 n.长辈;上级
第3天 Unit 1 Lesson 3,dormitory,"n.宿舍,集体寝室"
第3天 Unit 1 Lesson 3,graduate,n.(大学)毕业生 v.毕业;获得学位
第3天 Unit 1 Lesson 3,*graduation,n.毕业;毕业典礼
第3天 Unit 1 Lesson 3,undergraduate,n.本科生
第3天 Unit 1 Lesson 3,gradually,adv.逐渐地;渐进地
第3天 Unit 1 Lesson 3,*gradual,adj.逐渐的;渐进的
第3天 Unit 1 Lesson 3,step,"n.台阶;步骤;迈步;一步 v.踏,踩;迈步,行走"
第3天 Unit 1 Lesson 3,thesis,"n.论文,毕业论文;论题"
第3天 Unit 1 Lesson 3,examine,v.(仔细地)检查;调查;测验
第3天 Unit 1 Lesson 3,*examination,n.考试;检查;调查
第3天 Unit 1 Lesson 3,check,"v.检查,核对 n.检查;调查;支票"
第3天 Unit 1 Lesson 3,degree,n.程度;度数;(大学)学位
第3天 Unit 1 Lesson 3,level,"n.水平;程度,等级"
第3天 Unit 1 Lesson 3,rank,"n.地位,级别;等级 v.把……分等级;名列"
第3天 Unit 1 Lesson 3,scale,"n.规模,范围,程度;等级"
第3天 Unit 1 Lesson 3,discipline,n.训练;纪律;学科
第3天 Unit 1 Lesson 3,*disciplined,adj.受过训练的;遵守纪律的
第3天 Unit 1 Lesson 3,principle,"n.道德原则;规范;法则,原则"
第3天 Unit 1 Lesson 3,principal,"n.校长;首长 adj.最重要的,主要的"
第3天 Unit 1 Lesson 3,course,n.课程;过程;进展;航线;方针
第3天 Unit 1 Lesson 3,case,n.实例;情况;诉讼;容器
第3天 Unit 1 Lesson 3,president,"n.总统,主席;董事长;总经理;(大学)校长"
第3天 Unit 1 Lesson 3,resident,"n.居民,住户 adj.居住的,定居的"
第3天 Unit 1 Lesson 3,*residence,n.居住;住处
第3天 Unit 1 Lesson 3,*reside,"v.居住在,定居于"
第3天 Unit 1 Lesson 3,inhabit,v.栖居于;居住于
第3天 Unit 1 Lesson 3,*inhabitant,n.居民;栖息动物
第3天 Unit 1 Lesson 3,habit,n.习惯;习性
第3天 Unit 1 Lesson 3,besides,prep.除……之外(还) adv.而且;此外;也
第3天 Unit 1 Lesson 3,except,v.把……除外 prep.除……之外 conj.除了;只是
第3天 Unit 1 Lesson 3,exception,n.例外;一般情况以外的人(或事物)
第3天 Unit 1 Lesson 3,combine,v.(使)结合;联合;兼备
第3天 Unit 1 Lesson 3,*combination,n.结合;混合
第3天 Unit 1 Lesson 3,connect,v.连接;联系
第3天 Unit 1 Lesson 3,*connection,n.关系;联系
第3天 Unit 1 Lesson 3,*disconnect,v.切断;使中断;使分离
第3天 Unit 1 Lesson 3,link,n.联系;连接 v.把……连接起来;联系
第3天 Unit 1 Lesson 3,bridge,n.桥;桥梁;纽带
第3天 Unit 1 Lesson 3,join,"v.参加,加入;结合,连接"
第3天 Unit 1 Lesson 3,joint,n.关节;接头 adj.联合的
第3天 Unit 1 Lesson 3,separate,v.(使)分开;区别 adj.单独的;不同的
第3天 Unit 1 Lesson 3,integrate,"v.(使)合并,成为一体;(使)加入;(使)融入"
第3天 Unit 1 Lesson 3,integrity,"n.诚实正直;完整,完好"
